Id,SalePrice
2658,156231.22580054574
2718,196979.62410910754
2414,207853.3236291017
1989,110698.77671393484
625,172036.75445689633
333,81570.17605215775
1327,101175.76544332954
858,194365.01094826692
95,213336.13138612988
1568,158002.0420937229
2482,167258.77462818124
1364,121939.1052082639
2584,168106.84903007708
818,265769.5082600467
2673,158588.71035396424
2089,106960.82476084356
1297,122142.04420015533
790,108816.32779605525
2616,230955.5130466822
720,185823.2658724788
222,166988.90437976804
557,107362.06099822863
1148,212067.3230867362
2766,202274.29462943325
534,177723.9865122059
1452,124956.85946236743
630,136749.2952902313
2648,122240.81902437277
125,133741.34638010996
1904,46239.70365944941
1670,93675.54059987536
756,82551.53575796557
717,245386.98433257366
1032,174038.78719674528
852,221515.4482411407
1731,210014.97434947017
2639,130048.60248867297
2071,72264.79289880041
1267,107717.13069351042
1851,210828.65122928185
567,195108.1444595802
2439,191142.41296568912
1898,134448.0523261759
647,168496.20609630074
2256,231719.88710245327
979,101160.97363550875
1444,207656.9070221155
2485,129080.41948359925
157,144741.3373745821
88,108632.037305004
2003,109343.97622535168
186,194682.41150463952
1425,233616.47557094274
2695,128413.44020245777
738,98571.22067406776
395,146585.73361382307
1353,167173.89751279372
1878,138337.32994967746
390,160240.7894977773
1456,216998.5407406017
1103,315199.98483262
1387,101020.42952431407
2070,129593.46322562313
1199,178270.3988692121
2479,173583.55577959382
501,325545.42224134965
2362,96775.02320463516
1718,237846.2816606099
2188,108719.72080746177
1483,152971.55192512175
2557,66933.25842004133
437,353228.18721854826
2224,235770.48149452865
1628,155663.5977152914
397,138992.14953390765
587,212576.89605382606
971,123311.40847827065
2611,157912.6531819891
1887,78848.24967393921
2399,304789.6175966492
2148,215191.36669447247
304,91446.18981526681
1997,120716.41333358105
2817,124941.0745270069
1431,210164.9419585355
427,345277.84059535665
263,119592.33115571842
598,165400.58492116324
2895,265707.603743064
687,142926.31323910024
1822,125221.07612999802
2191,124220.47663237086
179,125074.62071188631
1009,241976.77661143668
2010,132885.27765893674
1991,119532.55977835806
1411,183264.71791786805
1721,273485.49714344536
1144,180073.06947019644
593,198142.38770319076
575,321015.97887942276
1249,166809.84761249193
1604,139273.60744208947
1064,395688.34608369344
1923,145728.74271720022
1988,117302.24025226539
2325,169381.50034651824
114,203091.12820909903
2700,187462.3355830838
217,179315.65397841908
343,162254.7992629246
386,230153.87554059518
2005,110456.80853749451
2908,163501.51850931754
1814,226548.19957812747
2446,438489.15749996854
208,144572.369653413
1679,86225.91124986413
822,251799.79838431615
6,199407.8034052018
1781,320295.427298795
2397,314849.4878261478
2340,295010.6092338083
1618,173836.40054566794
2843,150931.44314295787
1061,321511.87653887994
2786,148160.30491786174
1935,134979.51898864392
1341,119157.51240947313
521,248112.48286280409
2136,133370.1131507461
996,180771.3858888406
227,141984.43553490294
135,170207.7344889815
1167,167469.86296925918
294,249898.26431899308
1776,245353.9512815295
540,161722.4333820157
1717,268075.44822978135
2303,135907.05337501963
116,181830.1954445195
127,150933.63324788073
1371,143971.0469695175
1014,170396.80976641027
1507,97801.73022481192
702,128364.02415776212
750,147050.2532545396
261,176852.6994535949
1559,83631.43111232849
577,262599.1230827172
2812,200482.76056018323
2080,176551.93325144963
1368,133124.38017104662
2376,112788.72556457219
659,124036.03858555973
